Yards to Go,Average Yards Gained
0,0.947368421052632
1,2.74799465240642
2,3.77462887989204
3,4.08179012345679
4,4.25496688741722
5,4.82511210762332
6,4.48448275862069
7,5.33843537414966
8,4.40315315315315
9,4.93782383419689
10,4.68249186648994
11,3.05022831050228
12,3.95327102803738
13,4.76086956521739
14,7.21428571428571
15,4.87027027027027
16,5.56410256410256
17,6.0
18,5.94594594594595
19,5.20588235294118
20,6.12087912087912
21,8.63636363636364
22,6.11111111111111
23,10.2666666666667
24,8.28571428571429
25,7.45454545454545
26,7.22222222222222
27,5.0
28,12.0
29,5.16666666666667
30,3.0
31,2.0
33,7.66666666666667
34,8.0
36,9.0
