Player Id,Player Name,Yards Gained,Yards to Go,2nd Down,3rd Down,4th Down
00-0033553,J.Conner,3,10,0,0,0
00-0033553,J.Conner,2,1,1,0,0
00-0033553,J.Conner,2,10,0,0,0
00-0033553,J.Conner,2,8,1,0,0
00-0033553,J.Conner,-3,10,1,0,0
00-0035228,K.Murray,6,13,0,1,0
00-0033553,J.Conner,4,9,0,0,0
00-0037248,J.Cook,9,10,0,0,0
00-0037248,J.Cook,3,1,1,0,0
00-0033553,J.Conner,4,10,0,0,0
00-0035228,K.Murray,11,10,0,0,0
00-0033553,J.Conner,1,7,1,0,0
00-0037248,J.Cook,15,10,0,0,0
00-0037248,J.Cook,5,10,0,0,0
00-0037248,J.Cook,9,10,0,0,0
00-0037248,J.Cook,4,1,1,0,0
00-0037248,J.Cook,4,8,0,0,0
00-0037248,J.Cook,0,4,1,0,0
00-0039921,T.Benson,6,5,1,0,0
00-0035228,K.Murray,12,6,0,1,0
00-0039921,T.Benson,4,10,0,0,0
00-0039921,T.Benson,3,10,0,0,0
00-0033553,J.Conner,3,3,0,0,0
00-0035537,Ty.Johnson,6,15,0,0,0
00-0034857,J.Allen,6,15,0,0,0
00-0034857,J.Allen,7,10,0,0,0
00-0034857,J.Allen,7,3,1,0,0
00-0035228,K.Murray,-1,10,0,0,0
00-0037248,J.Cook,1,10,0,0,0
00-0037248,J.Cook,-2,10,0,0,0
00-0039875,R.Davis,13,10,0,0,0
00-0039875,R.Davis,0,10,0,0,0
00-0033553,J.Conner,2,10,0,0,0
00-0033553,J.Conner,2,8,1,0,0
00-0039875,R.Davis,0,7,1,0,0
00-0037248,J.Cook,1,10,0,0,0
00-0035537,Ty.Johnson,1,2,0,1,0
00-0034857,J.Allen,1,1,0,0,1
00-0033553,J.Conner,3,10,0,0,0
00-0035228,K.Murray,29,7,0,1,0
00-0033553,J.Conner,20,10,0,0,0
00-0035500,G.Dortch,4,10,0,0,0
00-0033553,J.Conner,2,6,1,0,0
00-0033553,J.Conner,0,4,0,1,0
00-0037248,J.Cook,6,10,0,0,0
00-0037248,J.Cook,1,10,0,0,0
00-0034857,J.Allen,5,2,0,0,1
00-0037248,J.Cook,-2,10,0,0,0
00-0034857,J.Allen,6,6,1,0,0
00-0033553,J.Conner,2,0,0,0,0
00-0034857,J.Allen,9,10,0,0,0
00-0037248,J.Cook,3,1,1,0,0
00-0037248,J.Cook,-3,10,0,0,0
00-0037248,J.Cook,9,10,0,0,0
00-0037248,J.Cook,7,10,0,0,0
00-0037248,J.Cook,1,3,1,0,0
00-0034857,J.Allen,-1,2,0,1,0
00-0033553,J.Conner,3,10,0,1,0
00-0034857,J.Allen,-1,10,0,0,0
00-0037840,K.Williams,9,10,0,0,0
00-0037840,K.Williams,-1,1,1,0,0
00-0033553,J.Conner,16,10,1,0,0
00-0035228,K.Murray,6,10,0,0,0
00-0033553,J.Conner,13,4,1,0,0
00-0037840,K.Williams,-1,10,0,0,0
00-0037840,K.Williams,-1,3,1,0,0
00-0033553,J.Conner,-1,18,0,0,0
00-0033553,J.Conner,4,10,0,0,0
00-0039921,T.Benson,1,6,1,0,0
00-0039921,T.Benson,2,3,1,0,0
00-0033553,J.Conner,6,1,0,1,0
00-0033553,J.Conner,4,1,1,0,0
00-0033553,J.Conner,3,10,0,0,0
00-0033553,J.Conner,2,7,1,0,0
00-0037840,K.Williams,1,10,0,0,0
00-0037840,K.Williams,9,10,0,0,0
00-0037840,K.Williams,-3,1,1,0,0
00-0035228,K.Murray,8,10,0,0,0
00-0039921,T.Benson,4,2,1,0,0
00-0039921,T.Benson,-1,10,0,0,0
00-0035228,K.Murray,9,14,0,1,0
00-0033553,J.Conner,3,10,1,0,0
00-0037840,K.Williams,2,10,0,0,0
00-0037840,K.Williams,1,4,0,0,0
00-0033553,J.Conner,7,1,1,0,0
00-0033553,J.Conner,5,20,0,0,0
00-0035228,K.Murray,26,15,1,0,0
00-0033553,J.Conner,6,10,0,0,0
00-0033553,J.Conner,22,4,1,0,0
00-0033553,J.Conner,5,5,1,0,0
00-0037840,K.Williams,1,10,0,0,0
00-0033553,J.Conner,-1,10,0,0,0
00-0033553,J.Conner,2,10,0,0,0
00-0039921,T.Benson,1,10,0,0,0
00-0039921,T.Benson,1,9,1,0,0
00-0037840,K.Williams,4,1,0,0,1
00-0037840,K.Williams,4,4,0,0,0
00-0033553,J.Conner,5,5,0,0,0
00-0039921,T.Benson,-3,10,0,0,0
00-0039921,T.Benson,1,10,0,0,0
00-0033553,J.Conner,10,9,1,0,0
00-0033553,J.Conner,8,10,0,0,0
00-0033553,J.Conner,1,2,1,0,0
00-0035228,K.Murray,10,1,0,1,0
00-0033553,J.Conner,2,7,1,0,0
00-0039921,T.Benson,2,10,0,0,0
00-0039921,T.Benson,-1,8,1,0,0
00-0038705,E.Demercado,41,9,0,1,0
00-0038705,E.Demercado,5,10,0,0,0
00-0039921,T.Benson,3,5,1,0,0
00-0038582,C.Tune,-6,2,0,1,0
00-0039738,B.Corum,2,10,0,0,0
00-0039738,B.Corum,8,8,1,0,0
00-0039738,B.Corum,9,10,0,0,0
00-0039738,B.Corum,-1,1,1,0,0
